,Category,Message
1503,not-spam,Don no da:)whats you plan?
1504,not-spam,Ill be there on  &lt;#&gt;  ok.
1505,not-spam,Oh my God. I'm almost home
1506,not-spam,Total video converter free download type this in google search:)
1507,spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
1508,not-spam,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
1509,not-spam,Sounds like something that someone testing me would sayy
1510,not-spam,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
1511,not-spam,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
1512,not-spam,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
1513,not-spam,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
1514,not-spam,Hows the champ just leaving glasgow!
1515,not-spam,K:)all the best:)congrats...
1516,not-spam,I wonder if you'll get this text?
1517,not-spam,I need to come home and give you some good lovin...
1518,spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
1519,not-spam,Shall i ask one thing if you dont mistake me.
1520,not-spam,Check wid corect speling i.e. Sarcasm
1521,spam,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
1522,not-spam,Are you angry with me. What happen dear
1523,not-spam,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
1524,not-spam,Yup ok thanx...
1525,not-spam,Hi:)cts employee how are you?
1526,not-spam,Pls pls find out from aunt nike.
1527,not-spam,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
1528,not-spam,No screaming means shouting..
1529,not-spam,Hey what happen de. Are you alright.
1530,not-spam,Should I have picked up a receipt or something earlier
1531,not-spam,I think chennai well settled?
1532,not-spam,Oh dang! I didn't mean o send that to you! Lol!
1533,not-spam,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
1534,not-spam,Horrible bf... I now v hungry...
1535,not-spam,Remember on that day..
1536,spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
1537,not-spam,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
1538,not-spam,All sounds good. Fingers . Makes it difficult to type
1539,not-spam,Midnight at the earliest
1540,not-spam,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
1541,not-spam,K come to nordstrom when you're done
1542,not-spam,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
1543,not-spam,Now press conference da:)
1544,spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
1545,not-spam,After completed degree. There is no use in joining finance.
1546,not-spam,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
1547,not-spam,Shant disturb u anymore... Jia you...
1548,not-spam,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
1549,not-spam,"Me, i dont know again oh"
1550,not-spam,Dude sux for snake. He got old and raiden got buff
1551,not-spam,He says hi and to get your ass back to south tampa (preferably at a kegger)
1552,not-spam,In e msg jus now. U said thanks for gift.
1553,not-spam,U too...
1554,not-spam,Ok how you dear. Did you call chechi
1555,not-spam,Yeah we do totes. When u wanna?
1556,not-spam,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
1557,not-spam,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
1558,not-spam,Wat r u doing?
1559,not-spam,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
1560,not-spam,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
1561,not-spam,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
1562,not-spam,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
1563,not-spam,Dude just saw a parked car with its sunroof popped up. Sux
1564,not-spam,Get ready to put on your excellent sub face :)
1565,not-spam,Tmrw. Im finishing 9 doors
1566,not-spam,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
1567,not-spam,I am late. I will be there at
1568,not-spam,"whatever, im pretty pissed off."
1569,not-spam,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
1570,not-spam,I dont have that much image in class.
1571,not-spam,No:-)i got rumour that you going to buy apartment in chennai:-)
1572,not-spam,Near kalainar tv office.thenampet
1573,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
1574,spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
1575,not-spam,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
1576,not-spam,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
1577,not-spam,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
1578,not-spam,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
1579,not-spam,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
1580,not-spam,"Why is that, princess? I bet the brothas are all chasing you!"
1581,not-spam,"I shall book chez jules for half eight, if that's ok with you?"
1582,not-spam,Hhahhaahahah rofl wtf nig was leonardo in your room or something
1583,not-spam,"Yep, at derek's house now, see you Sunday &lt;3"
1584,not-spam,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
1585,not-spam,"Sorry, I'll call later"
1586,not-spam,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
1587,not-spam,There are no other charges after transfer charges and you can withdraw anyhow you like
1588,not-spam,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
1589,not-spam,At 4. Let's go to bill millers
1590,not-spam,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
1591,not-spam,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
1592,not-spam,That's my honeymoon outfit. :)
1593,not-spam,Will it help if we propose going back again tomorrow
1594,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
1595,not-spam,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
1596,not-spam,Pls confirm the time to collect the cheque.
1597,spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
1598,spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
1599,not-spam,Daddy will take good care of you :)
1600,not-spam,"Yeah probably, I still gotta check out with leo"
1601,not-spam,K.then any other special?
1602,not-spam,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
1603,not-spam,Ok pa. Nothing problem:-)
1604,not-spam,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!
1605,not-spam,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
1606,not-spam,When you came to hostel.
1607,not-spam,Ok no prob... I'll come after lunch then...
1608,not-spam,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
1609,not-spam,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
1610,not-spam,You all ready for * big day tomorrow?
1611,not-spam,I'll probably be around mu a lot
1612,not-spam,645
1613,spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
1614,not-spam,Thnx dude. u guys out 2nite?
1615,not-spam,Me sef dey laugh you. Meanwhile how's my darling anjie!
1616,not-spam,Mm i had my food da from out
1617,not-spam,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
1618,not-spam,Did u download the fring app?
1619,not-spam,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
1620,not-spam,Friends that u can stay on fb chat with
1621,not-spam,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
1622,not-spam,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
1623,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
1624,not-spam,"Ah, well that confuses things, doesn‘t it?"
1625,spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
1626,not-spam,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
1627,not-spam,Dear how you. Are you ok?
1628,spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
1629,not-spam,Yes princess! I want to make you happy...
1630,not-spam,Sounds like you have many talents! would you like to go on a dinner date next week?
1631,not-spam,I am going to film 2day da. At 6pm. Sorry da.
1632,not-spam,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
1633,not-spam,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
1634,not-spam,Yesterday its with me only . Now am going home.
1635,spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
1636,not-spam,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
1637,not-spam,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
1638,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
1639,not-spam,Great comedy..cant stop laughing da:)
1640,spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
1641,not-spam,"Alright, we're all set here, text the man"
1642,not-spam,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
1643,not-spam,Sleeping nt feeling well
1644,not-spam,U WILL SWITCH YOUR FONE ON DAMMIT!!
1645,not-spam,India have to take lead:)
1646,not-spam,I.ll post her out l8r. In class
1647,not-spam,Thts wat Wright Brother did to fly..
1648,not-spam,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!"
1649,not-spam,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
1650,not-spam,ITS A LAPTOP TAKE IT WITH YOU.
1651,not-spam,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
1652,not-spam,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
1653,spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
1654,not-spam,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
1655,not-spam,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
1656,not-spam,At 7 we will go ok na.
1657,not-spam,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
1658,not-spam,S:-)if we have one good partnership going we will take lead:)
1659,spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
1660,not-spam,"Yeah, where's your class at?"
1661,not-spam,No just send to you. Bec you in temple na.
1662,not-spam,"You aren't coming home between class, right? I need to work out and shower!"
1663,spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
1664,not-spam,S but mostly not like that.
1665,not-spam,Ü v ma fan...
1666,not-spam,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
1667,not-spam,Guess who spent all last night phasing in and out of the fourth dimension
1668,not-spam,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
1669,not-spam,"Yes..but they said its IT.,"
1670,not-spam,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
1671,not-spam,Lmao!nice 1
1672,not-spam,Glad to see your reply.
1673,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
1674,spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
1675,not-spam,Nah dub but je still buff
1676,not-spam,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
1677,not-spam,"Yeah, that's fine! It's £6 to get in, is that ok?"
1678,not-spam,Lol where do u come up with these ideas?
1679,not-spam,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
1680,not-spam,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
1681,not-spam,Okay... We wait ah
1682,not-spam,Y lei?
1683,not-spam,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
1684,not-spam,Already am squatting is the new way of walking
1685,not-spam,Do you want bold 2 or bb torch
1686,not-spam,Cramps stopped. Going back to sleep
1687,spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
1688,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
1689,not-spam,Nan sonathaya soladha. Why boss?
1690,not-spam,Bring tat cd don forget
1691,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
1692,not-spam,I don't know but I'm raping dudes at poker
1693,not-spam,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
1694,not-spam,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
1695,not-spam,Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?
1696,not-spam,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
1697,not-spam,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
1698,not-spam,Hai priya are you right. What doctor said pa. Where are you.
1699,spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
1700,not-spam,Ok...
1701,not-spam,Please ask mummy to call father
1702,not-spam,Can come my room but cannot come my house cos my house still messy... Haha...
1703,not-spam,I have lost 10 kilos as of today!
1704,not-spam,Just taste fish curry :-P
1705,not-spam,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
1706,not-spam,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
1707,not-spam,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
1708,not-spam,Was doing my test earlier. I appreciate you. Will call you tomorrow.
1709,not-spam,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
1710,not-spam,U meet other fren dun wan meet me ah... Muz b a guy rite...
1711,not-spam,"(No promises on when though, haven't even gotten dinner yet)"
1712,not-spam,I got your back! Do you have any dislikes in bed?
1713,not-spam,o turns out i had stereo love on mi phone under the unknown album.
1714,spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
1715,not-spam,Yeah I don't see why not
1716,not-spam,Asking do u knw them or nt? May be ur frnds or classmates?
1717,not-spam,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
1718,spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
1719,not-spam,"As in missionary hook up, doggy hook up, standing...|"
1720,not-spam,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
1721,not-spam,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
1722,not-spam,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
1723,not-spam,Thought praps you meant another one. Goodo! I'll look tomorrow
1724,not-spam,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
1725,not-spam,There bold 2  &lt;#&gt; . Is that yours
1726,not-spam,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
1727,not-spam,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
1728,not-spam,I went to project centre
1729,not-spam,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1730,not-spam,Lol yeah at this point I guess not
1731,not-spam,Doing project w frens lor.
1732,not-spam,Lol. Well quality aint bad at all so i aint complaining
1733,not-spam,"K, can that happen tonight?"
1734,spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
1735,not-spam,"I think we're going to finn's now, come"
1736,not-spam,Why tired what special there you had
1737,not-spam,I will come tomorrow di
1738,not-spam,I cant pick the phone right now. Pls send a message
1739,not-spam,K go and sleep well. Take rest:-).
1740,not-spam,U guys never invite me anywhere :(
1741,spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
1742,not-spam,I can do that! I want to please you both inside and outside the bedroom...
1743,not-spam,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
1744,not-spam,I love to wine and dine my lady!
1745,spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
1746,not-spam,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
1747,not-spam,I don know account details..i will ask my mom and send you.my mom is out of reach now.
1748,not-spam,I think u have the wrong number.
1749,not-spam,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
1750,not-spam,DO NOT B LATE LOVE MUM
1751,not-spam,Got it..mail panren paru..
1752,not-spam,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
1753,not-spam,Give one miss from that number please
1754,not-spam,Jus came back fr lunch wif my sis only. U leh?
1755,not-spam,How is your schedule next week? I am out of town this weekend.
1756,not-spam,Really good:)dhanush rocks once again:)
1757,not-spam,Lmao ok I wont be needing u to do my hair anymore.
1758,not-spam,"Miss ya, need ya, want ya, love ya."
1759,not-spam,Sorry i'm not free...
1760,not-spam,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
1761,not-spam,Nt yet chikku..simple habba..hw abt u?
1762,not-spam,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
1763,not-spam,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
1764,not-spam,Joy's father is John. Then John is the NAME of Joy's father. Mandan
1765,spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
1766,not-spam,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
1767,spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
1768,not-spam,"K, want us to come by now?"
1769,not-spam,How. Its a little difficult but its a simple way to enter this place
1770,not-spam,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
1771,not-spam,Dont show yourself. How far. Put new pictures up on facebook.
1772,not-spam,Watching tv now. I got new job :)
1773,not-spam,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
1774,not-spam,"I'm not coming over, do whatever you want"
1775,not-spam,"Its ok chikku, and its my 1 of favourite song..:-)"
1776,not-spam,Did u see what I posted on your Facebook?
1777,spam,Call FREEPHONE 0800 542 0578 now!
1778,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
1779,not-spam,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
1780,spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
1781,spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
1782,not-spam,";-( oh well, c u later"
1783,not-spam,My uncles in Atlanta. Wish you guys a great semester.
1784,not-spam,No dear i do have free messages without any recharge. Hi hi hi
1785,not-spam,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
1786,not-spam,I dun believe u. I thk u told him.
1787,not-spam,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
1788,not-spam,Yes:)sura in sun tv.:)lol.
1789,not-spam,Arun can u transfr me d amt
1790,not-spam,Takin a shower now but yeah I'll leave when I'm done
1791,not-spam,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
1792,not-spam,U havent lost me ill always b here 4u.i didnt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thats what itried2tell urmom.i careabout u
1793,spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
1794,not-spam,You bad girl. I can still remember them
1795,not-spam,How much i gave to you. Morning.
1796,not-spam,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
1797,not-spam,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
1798,not-spam,Can i get your opinion on something first?
1799,not-spam,That one week leave i put know that time. Why.
1800,not-spam,"If we hit it off, you can move in with me :)"
1801,not-spam,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
1802,not-spam,I wanna watch that movie
1803,not-spam,Ok lor thanx... Ü in school?
1804,not-spam,I'm in class. Did you get my text.
1805,not-spam,The bus leaves at  &lt;#&gt;
1806,not-spam,God bless.get good sleep my dear...i will pray!
1807,spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
1808,not-spam,Do have a nice day today. I love you so dearly.
1809,not-spam,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
1810,not-spam,"Aight, I'll ask a few of my roommates"
1811,not-spam,"Now, whats your house # again ? And do you have any beer there ?"
1812,not-spam,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
1813,not-spam,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry
1814,not-spam,Yes we are chatting too.
1815,not-spam,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
1816,not-spam,Sian... Aft meeting supervisor got work 2 do liao... U working now?
1817,not-spam,Are you going to write ccna exam this week??
1818,not-spam,Well i will watch shrek in 3D!!B)
1819,not-spam,Am i that much dirty fellow?
1820,not-spam,Dunno dat's wat he told me. Ok lor...
1821,not-spam,I'll probably be by tomorrow (or even later tonight if something's going on)
1822,not-spam,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
1823,not-spam,If you're thinking of lifting me one then no.
1824,not-spam,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
1825,not-spam,Sent me ur email id soon
1826,not-spam,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
1827,not-spam,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
1828,not-spam,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
